,account_key,subscription_start,total_study_hrs,lessons_completed,projects_completed,Intro to Data Science_hrs,Intro to HTML and CSS_hrs,Data Analyst Nanodegree_hrs,Data Visualization and D3.js_hrs,Data Analysis with R_hrs,JavaScript Basics_hrs,Intro to Machine Learning_hrs,A/B Testing_hrs,Data Wrangling with MongoDB_hrs,Intro to Data Science_lesson,Intro to HTML and CSS_lesson,Data Analyst Nanodegree_lesson,Data Visualization and D3.js_lesson,Data Analysis with R_lesson,JavaScript Basics_lesson,Intro to Machine Learning_lesson,A/B Testing_lesson,Data Wrangling with MongoDB_lesson,Intro to Data Science_proj,Intro to HTML and CSS_proj,Data Analyst Nanodegree_proj,Data Visualization and D3.js_proj,Data Analysis with R_proj,JavaScript Basics_proj,Intro to Machine Learning_proj,A/B Testing_proj,Data Wrangling with MongoDB_proj
681,1149,2015,115.0897790749806,11.0,0.0,56.129163227760664,0.0,3.154885200002166,0.0,2.250035736111666,0.0,0.0,0.0,53.555694911106166,9.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
682,426,2015,76.3483775055466,11.0,0.0,13.287430958316666,0.492817213888333,2.520933016668333,6.854611958328333,9.963877374998834,0.0,15.357671372216664,13.063846330572833,14.807189280556667,9.0,0.0,0.0,6.0,8.0,0.0,14.0,4.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
683,183,2015,106.28606972777,11.0,0.0,35.772594108326665,0.0,3.159248208333999,0.0,26.04453612223,0.0,0.0,0.0,41.3096912888833,9.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
684,451,2015,47.0519490916783,11.0,0.0,25.1036048694288,0.0,2.556476833333333,0.0,0.0,0.0,0.0,0.0,19.391867388916168,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
685,13,2015,32.9515023777826,1.0,0.0,15.543933072216667,0.0,5.02405115277,0.814306802778333,1.322520924999999,0.0,2.323749397221667,0.0,7.922941027790001,9.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
686,246,2015,59.3416693639188,11.0,0.0,29.478412536133835,0.0,1.663175252778333,0.0,0.0,0.0,0.0,0.0,28.200081575006667,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
687,788,2015,0.43770868889000003,0.0,0.0,0.25666671111166667,0.0,0.18104197777833334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
688,455,2015,113.0208634639031,11.0,0.0,41.1735060583405,0.0,5.721185136111168,3.034535147216666,25.931893533328832,0.0,0.0,0.0,37.159743588906004,9.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
689,464,2015,93.4258261083546,11.0,0.0,24.95653018888,1.21760980555,2.769257630556167,0.0,18.756844130559497,0.0,16.685371872226668,0.0,29.040212480568325,10.0,0.0,1.0,0.0,9.0,0.0,10.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
690,340,2015,48.5667763499873,7.0,0.0,28.417109813893834,0.0,3.9126987138835,0.0,0.0,0.0,0.0,0.0,16.236967822209998,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
691,75,2015,42.0866007694468,9.0,0.0,22.567238941667334,0.0,2.501936338890667,0.0,0.0,0.0,0.0,0.0,17.017425488888833,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
692,585,2015,120.9024313055605,11.0,0.0,36.2449698972166,0.0,2.142930488888166,0.0,22.289077908322167,0.23491737222166667,20.3350571444568,0.0,39.65547849445,9.0,0.0,1.0,0.0,9.0,0.0,10.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
693,205,2015,90.8972460083486,11.0,0.0,49.0863734305571,0.0,3.0101924611105,0.0,0.31072768055,0.0,0.15257126388883335,0.0,38.337381172237166,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
694,543,2015,104.1984290999755,11.0,0.0,48.8695740694338,0.0,1.245084641667166,0.0,12.599902541667833,0.0,0.0,0.0,41.4838678472066,9.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
695,681,2015,0.0922318944445,0.0,0.0,0.0,0.0,0.0922318944445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
696,333,2015,101.4334826972006,11.0,0.0,38.0522147138928,0.15985215833333333,4.36961708889,0.0,21.275553174986666,0.0,0.0,0.0,37.5762455610978,9.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
697,593,2015,89.0365782638461,11.0,0.0,41.195278608333325,0.0,2.992917241662333,0.0,14.317963730533332,0.0,0.0,0.0,30.5304186833171,7.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
698,1037,2015,2.256834847227833,0.0,0.0,0.0,0.0,2.220187947227833,0.0,0.0366469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
699,468,2015,84.4595403944146,0.0,0.0,68.7422227138673,0.0,4.552218408337834,0.0,0.0,0.0,10.6810026416545,0.0,0.48409663055,8.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700,363,2015,82.1483698305656,10.0,0.0,34.7144551611278,0.0,1.804787611111166,0.0,10.839923886116667,0.0,0.0,0.0,34.78920317221,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
701,786,2015,0.394931191667166,0.0,0.0,0.0,0.0,0.394931191667166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
702,291,2015,37.7880839249711,8.0,0.0,21.5417833110895,0.0,3.565085122221667,0.0,0.266880375,0.0,0.0,0.0,12.414335116659998,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
703,269,2015,87.6832540416795,11.0,0.0,30.043402361120503,0.0,5.42070647777,0.0,22.5442001527783,0.0,0.0,0.0,29.674945050001664,6.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
704,625,2015,66.6278516500105,10.0,0.0,24.784453200003334,0.0,1.244624569445000,0.0,6.069556725,0.0,0.0,0.0,34.529217155562165,6.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
705,392,2015,54.6118401638896,1.0,0.0,13.638299744449998,0.0,3.617070224998166,0.804750283333333,13.892361069443835,0.0,19.634917408332164,0.0,3.024441433332166,9.0,0.0,1.0,0.0,8.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
